,TARGET,CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY
110196,0,Cash loans,F,N,Y,0,67500.0,47970.0,4873.5
104617,0,Cash loans,F,N,Y,0,135000.0,647046.0,25200.0
146298,0,Revolving loans,M,Y,Y,0,180000.0,270000.0,13500.0
90458,0,Cash loans,F,N,Y,1,90000.0,450000.0,16677.0
1947,0,Cash loans,M,N,N,0,112500.0,427869.0,22153.5
272171,0,Cash loans,M,N,Y,1,112500.0,499221.0,25618.5
67730,0,Cash loans,M,Y,Y,0,270000.0,454500.0,26091.0
75664,1,Cash loans,F,N,N,0,180000.0,2687355.0,67932.0
4890,0,Cash loans,M,Y,N,0,135000.0,1485000.0,45153.0
77930,0,Cash loans,F,N,Y,0,76500.0,1040463.0,30550.5
227308,0,Cash loans,F,Y,Y,2,112500.0,315000.0,15151.5
274065,0,Cash loans,F,Y,Y,2,225000.0,1125000.0,33025.5
173050,0,Cash loans,F,N,Y,1,112500.0,495882.0,39307.5
91941,0,Cash loans,F,N,Y,2,67500.0,148365.0,11781.0
240150,0,Cash loans,F,N,Y,0,202500.0,619749.0,43263.0
145259,0,Cash loans,F,Y,N,0,202500.0,770292.0,30676.5
245635,0,Cash loans,F,N,Y,0,157500.0,571446.0,16839.0
2261,0,Cash loans,M,N,Y,0,135000.0,497520.0,33246.0
158398,0,Cash loans,F,N,Y,0,112500.0,1354500.0,37377.0
93342,0,Cash loans,F,Y,Y,2,225000.0,397881.0,22347.0
49396,0,Cash loans,F,N,N,1,202500.0,1009566.0,33493.5
227911,0,Cash loans,F,Y,N,2,144000.0,378000.0,29682.0
144543,0,Cash loans,F,N,Y,0,202500.0,513531.0,22747.5
204842,0,Cash loans,F,Y,Y,1,180000.0,523957.5,51174.0
206532,1,Cash loans,M,N,N,0,202500.0,450000.0,12001.5
273422,1,Cash loans,M,N,Y,3,112500.0,808650.0,31464.0
287384,0,Revolving loans,M,N,N,1,135000.0,270000.0,13500.0
180185,0,Cash loans,M,N,Y,1,157500.0,808650.0,31464.0
73074,1,Cash loans,M,Y,N,0,171000.0,450000.0,22018.5
50658,0,Cash loans,F,N,Y,0,135000.0,900000.0,26316.0
178710,0,Cash loans,F,N,N,2,81000.0,1303812.0,35982.0
183887,0,Cash loans,F,Y,Y,0,270000.0,1125000.0,62950.5
287892,0,Cash loans,F,N,N,0,90000.0,675000.0,28728.0
290588,0,Cash loans,M,N,Y,0,171000.0,310671.0,15241.5
271899,0,Cash loans,F,N,Y,0,135000.0,497520.0,33376.5
27770,0,Cash loans,F,N,Y,0,112500.0,508495.5,21672.0
133419,0,Cash loans,F,N,Y,0,45000.0,544491.0,16047.0
123067,0,Cash loans,F,N,N,2,45000.0,225000.0,12204.0
68079,0,Cash loans,F,N,Y,1,360000.0,1032133.5,34240.5
213949,0,Cash loans,M,N,Y,2,135000.0,288562.5,19413.0
171817,0,Cash loans,M,Y,N,1,45000.0,135000.0,7020.0
3383,0,Cash loans,M,N,Y,0,270000.0,654498.0,31617.0
211558,0,Cash loans,F,N,Y,0,202500.0,755190.0,36459.0
254106,0,Cash loans,F,N,Y,0,56250.0,254700.0,14350.5
21200,0,Cash loans,F,N,Y,0,225000.0,929088.0,33502.5
164359,0,Cash loans,F,N,Y,0,85500.0,536917.5,28737.0
180610,0,Cash loans,F,Y,N,0,112500.0,241618.5,23665.5
227759,0,Cash loans,M,N,N,1,135000.0,197820.0,15988.5
88204,0,Cash loans,M,N,N,0,180000.0,229230.0,24453.0
50368,0,Cash loans,M,Y,Y,0,157500.0,539100.0,29376.0
303948,0,Cash loans,F,N,Y,0,180000.0,239850.0,23364.0
287305,0,Cash loans,F,Y,Y,0,123750.0,544491.0,21226.5
111848,0,Revolving loans,F,N,Y,1,81000.0,225000.0,11250.0
95963,0,Cash loans,F,N,Y,0,180000.0,832500.0,24340.5
209716,0,Cash loans,F,Y,N,0,202500.0,112500.0,10539.0
512,0,Cash loans,M,N,Y,0,103500.0,302076.0,26055.0
51189,0,Revolving loans,M,N,Y,0,202500.0,270000.0,13500.0
122767,0,Cash loans,M,N,Y,0,135000.0,545040.0,25537.5
16539,0,Cash loans,F,N,Y,0,202500.0,454500.0,13023.0
105501,0,Cash loans,F,N,N,0,76500.0,269550.0,11416.5
240809,0,Cash loans,F,Y,N,0,360000.0,521280.0,27292.5
265835,1,Cash loans,M,Y,Y,0,202500.0,258709.5,30834.0
92701,1,Cash loans,M,Y,Y,0,157500.0,592560.0,31153.5
137077,0,Cash loans,F,Y,Y,0,99000.0,71955.0,7879.5
26369,0,Cash loans,F,N,Y,0,112500.0,284400.0,16011.0
169813,0,Cash loans,M,Y,Y,0,94500.0,630000.0,20452.5
139228,0,Cash loans,M,N,N,0,193500.0,553581.0,40414.5
290221,0,Cash loans,F,Y,N,1,171000.0,835380.0,33259.5
175327,0,Cash loans,M,Y,Y,0,180000.0,1575000.0,43443.0
99245,0,Cash loans,F,Y,Y,1,202500.0,177489.0,18315.0
76561,0,Cash loans,F,N,Y,0,85500.0,544491.0,17563.5
144259,0,Revolving loans,M,N,N,0,180000.0,450000.0,22500.0
44002,0,Cash loans,F,N,Y,0,112500.0,288972.0,12370.5
144178,0,Revolving loans,F,N,Y,0,180000.0,337500.0,16875.0
49819,0,Cash loans,M,Y,N,0,270000.0,167895.0,16605.0
113051,1,Cash loans,M,Y,N,0,202500.0,533304.0,36207.0
68479,0,Cash loans,F,N,Y,0,103500.0,312768.0,24709.5
1502,0,Cash loans,M,N,Y,0,292500.0,729000.0,38970.0
81010,0,Cash loans,M,N,Y,0,202500.0,355536.0,13306.5
162829,0,Cash loans,F,N,N,2,247500.0,1528200.0,53248.5
301421,0,Cash loans,M,N,Y,0,450000.0,1190340.0,63549.0
113508,0,Cash loans,F,Y,Y,1,405000.0,820638.0,63639.0
137347,0,Cash loans,F,N,Y,0,157500.0,518562.0,26604.0
116485,0,Cash loans,F,N,Y,0,180000.0,452385.0,22131.0
21582,0,Cash loans,M,N,Y,2,225000.0,228339.0,21073.5
81675,0,Cash loans,F,N,Y,0,135000.0,279000.0,16146.0
116982,0,Revolving loans,F,Y,Y,1,67500.0,180000.0,9000.0
2325,0,Cash loans,F,N,Y,0,148500.0,545040.0,35617.5
153620,0,Cash loans,M,Y,N,1,247500.0,916470.0,25330.5
291504,0,Cash loans,F,N,Y,0,247500.0,1528200.0,55021.5
242094,1,Cash loans,M,N,Y,1,99000.0,609183.0,16879.5
111731,0,Cash loans,M,N,N,1,337500.0,1812456.0,53122.5
118814,0,Cash loans,F,N,Y,0,67500.0,180000.0,17662.5
234426,0,Cash loans,F,N,Y,0,112500.0,298512.0,17266.5
134192,0,Cash loans,F,N,Y,1,121050.0,225000.0,8613.0
243400,0,Cash loans,F,Y,Y,0,292500.0,1436850.0,42012.0
20758,0,Cash loans,F,Y,N,0,225000.0,1154565.0,41598.0
269298,0,Cash loans,F,Y,Y,1,162000.0,152820.0,16344.0
220954,0,Cash loans,M,Y,Y,0,256500.0,592560.0,40216.5
69937,0,Cash loans,M,Y,N,2,112500.0,113760.0,6660.0
281992,0,Cash loans,M,Y,Y,2,157500.0,990432.0,32863.5
167187,0,Cash loans,F,Y,N,1,135000.0,1096020.0,56092.5
282198,1,Cash loans,M,N,Y,0,112500.0,260725.5,20727.0
232103,0,Cash loans,M,Y,Y,0,112500.0,157500.0,17941.5
160784,0,Cash loans,F,Y,Y,0,135000.0,500566.5,32494.5
55994,0,Cash loans,F,N,Y,0,315000.0,1054935.0,44824.5
91698,0,Cash loans,M,Y,N,0,90000.0,225000.0,13594.5
226180,0,Cash loans,F,Y,Y,0,90000.0,884124.0,25978.5
33666,0,Cash loans,M,Y,N,0,126000.0,126000.0,13698.0
167651,0,Cash loans,M,N,Y,0,202500.0,99576.0,5530.5
141906,0,Cash loans,F,N,N,0,125032.5,1350000.0,37125.0
170788,0,Cash loans,M,Y,N,3,247500.0,315000.0,29884.5
292999,0,Cash loans,F,N,Y,1,112500.0,286704.0,12757.5
108278,0,Cash loans,M,Y,Y,1,315000.0,1273500.0,48636.0
136784,0,Cash loans,F,N,Y,0,135000.0,518562.0,22099.5
120701,0,Revolving loans,M,N,Y,0,180000.0,540000.0,27000.0
51549,0,Revolving loans,F,N,N,0,81000.0,247500.0,12375.0
111925,0,Cash loans,F,N,Y,1,99000.0,203760.0,13396.5
167833,0,Cash loans,M,N,Y,2,108000.0,679441.5,28917.0
15690,0,Cash loans,F,N,N,1,121500.0,284400.0,10849.5
88181,0,Revolving loans,F,N,N,2,94500.0,180000.0,9000.0
49124,0,Cash loans,M,Y,Y,0,261000.0,473760.0,50400.0
101454,0,Cash loans,F,N,N,2,76500.0,157500.0,12442.5
160441,0,Cash loans,F,N,Y,1,112500.0,328405.5,20083.5
80981,0,Cash loans,F,N,Y,0,220500.0,1515415.5,41800.5
66334,0,Cash loans,F,N,Y,0,130500.0,521280.0,27423.0
268970,0,Cash loans,F,N,Y,0,162000.0,582768.0,33453.0
126286,1,Revolving loans,F,N,Y,0,135000.0,135000.0,6750.0
278023,0,Cash loans,F,N,Y,0,157500.0,270000.0,11124.0
154687,0,Cash loans,F,N,Y,0,135000.0,938304.0,31009.5
86355,0,Cash loans,F,N,Y,0,35482.5,284400.0,10345.5
71720,0,Cash loans,F,N,N,0,90000.0,781920.0,34443.0
144938,0,Cash loans,M,Y,N,0,112500.0,545040.0,33475.5
257815,0,Cash loans,M,Y,Y,0,157500.0,564124.5,41179.5
194584,0,Cash loans,F,Y,Y,0,90000.0,143910.0,14364.0
304790,1,Cash loans,F,Y,N,2,112500.0,942300.0,30397.5
130731,0,Cash loans,F,N,Y,0,157500.0,1293502.5,35698.5
207033,0,Cash loans,F,N,Y,0,108000.0,168102.0,9513.0
87242,0,Cash loans,M,N,Y,0,225000.0,612612.0,31410.0
205157,0,Cash loans,F,Y,Y,1,157500.0,684652.5,35086.5
44054,0,Revolving loans,M,Y,Y,0,135000.0,540000.0,27000.0
199775,0,Cash loans,F,N,Y,0,202500.0,454500.0,27063.0
261435,0,Cash loans,F,N,Y,0,135000.0,675000.0,28728.0
269497,0,Cash loans,F,N,Y,0,112500.0,675000.0,19867.5
252722,0,Cash loans,F,N,Y,1,252000.0,808650.0,26217.0
148066,0,Cash loans,F,N,Y,0,135000.0,879480.0,25843.5
23455,0,Cash loans,F,N,Y,0,135000.0,571446.0,18562.5
75749,0,Cash loans,M,Y,Y,0,90000.0,835380.0,40320.0
163938,0,Cash loans,F,N,Y,0,90000.0,207306.0,9261.0
237627,0,Cash loans,F,N,Y,0,270000.0,548775.0,30771.0
78831,0,Cash loans,F,N,Y,1,112500.0,497520.0,33376.5
122615,0,Cash loans,M,Y,Y,2,135000.0,355536.0,18283.5
190702,0,Cash loans,F,N,N,0,112500.0,408780.0,32427.0
49527,0,Cash loans,F,N,N,0,76500.0,454500.0,21865.5
77268,0,Cash loans,M,Y,Y,0,157500.0,1436850.0,42142.5
198620,0,Cash loans,F,N,Y,0,148500.0,776304.0,25042.5
48067,0,Cash loans,F,N,N,0,157500.0,900000.0,26316.0
27379,0,Cash loans,F,N,Y,2,171000.0,370629.0,24898.5
96115,0,Cash loans,F,N,N,0,67500.0,251091.0,23607.0
62196,0,Cash loans,F,N,Y,2,112500.0,278460.0,19930.5
140525,0,Cash loans,F,N,Y,0,90000.0,170640.0,7951.5
141118,0,Cash loans,M,N,N,0,225000.0,865138.5,31203.0
276402,1,Cash loans,M,Y,Y,0,270000.0,765261.0,30478.5
26807,0,Cash loans,M,Y,N,0,225000.0,104256.0,12501.0
223120,0,Cash loans,F,N,Y,0,67500.0,405000.0,10683.0
138247,0,Cash loans,M,Y,Y,0,135000.0,1256400.0,36864.0
97018,0,Cash loans,M,Y,Y,0,292500.0,521280.0,28408.5
26516,0,Cash loans,F,N,Y,0,180000.0,528633.0,22527.0
137313,0,Cash loans,F,N,Y,0,135000.0,474048.0,25843.5
78120,0,Cash loans,F,N,Y,0,180000.0,403249.5,19741.5
110296,0,Cash loans,F,Y,Y,1,126000.0,222768.0,20430.0
284364,0,Cash loans,M,Y,N,0,99000.0,405000.0,21969.0
75305,1,Cash loans,F,N,N,0,90000.0,270000.0,16407.0
227708,0,Cash loans,M,Y,N,1,90000.0,225000.0,12006.0
231512,0,Cash loans,F,Y,Y,0,270000.0,1256400.0,34681.5
289673,0,Cash loans,M,Y,N,0,450000.0,900000.0,89928.0
144909,0,Cash loans,M,N,N,0,180000.0,104256.0,11920.5
54741,1,Cash loans,M,Y,Y,0,225000.0,900000.0,45954.0
245328,0,Cash loans,M,Y,N,0,157500.0,679500.0,19998.0
140177,0,Cash loans,F,N,Y,0,180000.0,1078200.0,31653.0
71006,0,Cash loans,F,N,N,0,180000.0,284256.0,28111.5
24705,0,Revolving loans,F,Y,Y,0,121500.0,292500.0,14625.0
106087,1,Cash loans,F,N,N,0,112500.0,701631.0,38191.5
190383,0,Cash loans,M,Y,N,1,135000.0,900000.0,32328.0
236614,1,Cash loans,M,N,Y,0,337500.0,450000.0,22018.5
2159,0,Cash loans,F,N,N,0,112500.0,1078200.0,31027.5
96907,0,Cash loans,F,N,Y,0,135000.0,913500.0,48667.5
36805,0,Cash loans,M,N,N,0,103500.0,450000.0,27193.5
219686,0,Revolving loans,F,Y,Y,3,157500.0,270000.0,13500.0
52714,1,Cash loans,F,Y,Y,0,216000.0,1024740.0,55719.0
261911,0,Cash loans,F,N,N,1,166500.0,1288350.0,34114.5
237505,0,Cash loans,F,Y,N,1,157500.0,1655037.0,43789.5
140295,0,Cash loans,M,N,Y,0,157500.0,284256.0,30744.0
79590,0,Revolving loans,F,N,N,0,90000.0,337500.0,16875.0
194543,0,Cash loans,F,Y,Y,0,69750.0,755190.0,38686.5
201393,0,Cash loans,M,Y,Y,2,112500.0,675000.0,36747.0
81479,0,Cash loans,F,N,Y,1,90000.0,751842.0,31986.0
246901,1,Revolving loans,M,N,Y,0,180000.0,270000.0,13500.0
177159,0,Cash loans,M,Y,Y,3,112500.0,981747.0,39064.5
110916,0,Cash loans,F,N,Y,0,112500.0,286704.0,15138.0
119012,0,Cash loans,F,N,Y,1,112500.0,675000.0,19737.0
136633,0,Cash loans,F,N,Y,0,292500.0,667237.5,37386.0
77135,1,Cash loans,M,Y,N,0,247500.0,450000.0,35554.5
275815,0,Cash loans,F,N,Y,0,247500.0,1615968.0,56299.5
179573,0,Cash loans,F,Y,Y,0,135000.0,152820.0,15241.5
158143,0,Revolving loans,F,N,N,0,90000.0,247500.0,12375.0
11921,0,Cash loans,F,N,Y,1,76500.0,441657.0,21609.0
192099,0,Cash loans,M,N,N,1,135000.0,539100.0,29245.5
207982,0,Cash loans,F,N,Y,1,90000.0,738171.0,39456.0
251048,0,Cash loans,F,N,Y,0,90000.0,225000.0,15660.0
204014,0,Cash loans,F,N,Y,0,103500.0,210456.0,13702.5
12064,0,Cash loans,F,N,Y,0,112500.0,191880.0,18688.5
200782,0,Cash loans,F,Y,Y,1,117000.0,288873.0,16713.0
160067,0,Cash loans,F,N,Y,2,113850.0,352044.0,13401.0
20855,0,Cash loans,F,N,Y,0,135000.0,300960.0,21897.0
200178,0,Cash loans,M,Y,Y,2,81000.0,312768.0,20119.5
70270,0,Cash loans,F,N,Y,0,108000.0,804420.0,32890.5
131971,0,Cash loans,F,N,Y,1,67500.0,835605.0,24561.0
50035,0,Cash loans,F,N,N,0,94500.0,450000.0,
234795,0,Cash loans,F,N,Y,0,202500.0,85320.0,5026.5
70385,0,Cash loans,F,N,N,0,58500.0,225000.0,9162.0
215907,0,Cash loans,M,Y,Y,0,360000.0,521280.0,41926.5
1261,0,Cash loans,F,N,N,0,247500.0,781920.0,25969.5
53792,0,Revolving loans,M,Y,N,0,292500.0,180000.0,9000.0
97379,0,Cash loans,F,N,Y,0,202500.0,1687266.0,67045.5
98176,0,Cash loans,F,N,Y,0,135000.0,1312110.0,55723.5
215171,0,Revolving loans,F,N,Y,0,135000.0,360000.0,18000.0
113880,1,Cash loans,M,N,Y,0,139500.0,248760.0,23994.0
61457,0,Cash loans,F,N,N,0,315000.0,490495.5,28156.5
140317,0,Cash loans,F,N,Y,0,180000.0,481500.0,20529.0
170557,1,Cash loans,M,Y,Y,0,225000.0,640080.0,31261.5
268446,0,Cash loans,M,Y,N,0,180000.0,327024.0,25965.0
73565,0,Cash loans,F,N,N,0,180000.0,942300.0,27135.0
49344,0,Cash loans,F,N,Y,0,225000.0,1247472.0,46359.0
85970,0,Cash loans,F,Y,Y,0,90000.0,66222.0,6678.0
156467,0,Cash loans,F,N,Y,0,135000.0,412942.5,42444.0
186231,0,Cash loans,F,N,Y,0,211500.0,1255680.0,45234.0
83267,0,Cash loans,M,N,Y,0,58500.0,298728.0,15403.5
105008,0,Cash loans,F,N,Y,0,157500.0,675000.0,28728.0
258135,0,Cash loans,F,N,Y,0,121500.0,132444.0,14184.0
186126,0,Cash loans,F,N,N,1,144000.0,942300.0,30528.0
194205,0,Cash loans,F,N,Y,2,135000.0,400500.0,17770.5
131970,0,Cash loans,F,Y,Y,1,202500.0,490495.5,25047.0
15712,0,Cash loans,M,N,Y,2,445500.0,450000.0,35554.5
283344,0,Revolving loans,F,Y,Y,0,180000.0,157500.0,7875.0
48117,0,Cash loans,M,Y,Y,1,135000.0,691020.0,22419.0
60646,0,Revolving loans,M,N,Y,0,203850.0,675000.0,33750.0
13783,0,Cash loans,F,N,Y,0,90000.0,765261.0,32553.0
212248,0,Cash loans,M,N,Y,0,54000.0,76410.0,8356.5
171880,0,Revolving loans,F,N,N,0,202500.0,157500.0,7875.0
257320,0,Revolving loans,M,N,Y,1,270000.0,270000.0,13500.0
31886,0,Cash loans,F,N,Y,0,90000.0,808650.0,23773.5
291583,0,Cash loans,F,Y,N,1,157500.0,352044.0,13401.0
185497,0,Revolving loans,F,N,Y,0,225000.0,157500.0,7875.0
10844,0,Cash loans,F,N,Y,1,135000.0,755190.0,36459.0
150103,0,Cash loans,M,Y,N,0,180000.0,942300.0,30528.0
184265,0,Cash loans,M,Y,Y,0,382500.0,1868814.0,123565.5
189246,0,Cash loans,F,N,Y,0,112500.0,900000.0,26446.5
34362,0,Cash loans,F,N,Y,0,265500.0,590337.0,26131.5
12542,1,Cash loans,F,N,Y,0,157500.0,877500.0,44932.5
298180,1,Cash loans,M,N,Y,0,270000.0,90000.0,10809.0
280167,0,Cash loans,M,N,Y,0,202500.0,1288350.0,37800.0
74959,0,Cash loans,M,Y,N,0,360000.0,1575000.0,45139.5
221249,0,Revolving loans,F,Y,Y,1,90000.0,202500.0,10125.0
113084,0,Cash loans,F,Y,N,1,292500.0,260640.0,28066.5
108155,0,Cash loans,F,N,N,0,108000.0,352044.0,13401.0
273732,0,Cash loans,M,N,N,1,270000.0,1078200.0,38331.0
86989,0,Cash loans,F,N,Y,0,270000.0,1288350.0,37669.5
264337,0,Cash loans,F,Y,N,2,360000.0,755190.0,36459.0
226193,0,Cash loans,F,N,Y,0,90000.0,298512.0,31801.5
195753,0,Cash loans,F,Y,Y,1,112500.0,521280.0,27423.0
171105,0,Cash loans,M,N,Y,0,180000.0,679441.5,27076.5
41961,0,Cash loans,F,N,N,0,180000.0,906228.0,35937.0
59777,0,Cash loans,F,N,Y,2,180000.0,900000.0,48082.5
51868,0,Cash loans,F,Y,N,0,67500.0,450000.0,21109.5
85518,0,Cash loans,F,N,Y,0,202500.0,1071000.0,34677.0
263481,0,Cash loans,M,N,N,0,157500.0,171000.0,12573.0
98131,0,Cash loans,F,N,N,0,85500.0,540000.0,27571.5
140834,0,Cash loans,F,N,Y,0,112500.0,104256.0,12501.0
174992,0,Cash loans,M,Y,Y,1,247500.0,133659.0,11601.0
177326,0,Cash loans,F,N,N,0,270000.0,614475.0,18760.5
259486,0,Cash loans,M,Y,Y,2,225000.0,355536.0,18742.5
64736,0,Cash loans,F,Y,Y,1,202500.0,986418.0,50364.0
231803,0,Cash loans,F,N,Y,0,135000.0,312768.0,22374.0
72064,0,Cash loans,F,N,Y,0,135000.0,862560.0,25348.5
193533,0,Cash loans,M,N,N,0,135000.0,640080.0,31261.5
280450,0,Cash loans,M,N,Y,0,180000.0,675000.0,36747.0
207613,0,Cash loans,F,N,Y,0,94500.0,167895.0,17757.0
260078,0,Cash loans,F,N,N,0,225000.0,284400.0,19134.0
283723,0,Cash loans,M,Y,N,1,135000.0,450000.0,53536.5
100585,0,Cash loans,M,N,N,0,112500.0,505066.5,25785.0
144957,0,Cash loans,F,N,Y,0,144000.0,675000.0,21906.0
29787,0,Cash loans,F,Y,Y,0,450000.0,1885536.0,95913.0
228571,0,Cash loans,M,Y,N,1,315000.0,1027327.5,43654.5
119121,0,Cash loans,F,N,Y,0,90000.0,142632.0,7960.5
27987,0,Cash loans,M,Y,Y,1,135000.0,288873.0,18936.0
78811,0,Cash loans,M,N,Y,0,292500.0,647046.0,20871.0
98988,0,Cash loans,F,N,Y,0,202500.0,405000.0,29601.0
169819,0,Cash loans,F,N,Y,0,112500.0,405000.0,14674.5
83103,0,Cash loans,F,Y,Y,0,180000.0,785772.0,28354.5
115548,0,Cash loans,F,N,Y,0,157500.0,1175314.5,38974.5
78710,0,Cash loans,M,N,Y,0,157500.0,270000.0,29209.5
6817,0,Cash loans,F,N,N,1,157500.0,416052.0,20367.0
149937,0,Cash loans,M,N,N,0,135000.0,284400.0,22599.0
150034,0,Cash loans,M,Y,Y,1,495000.0,521280.0,47938.5
248901,1,Cash loans,M,Y,Y,1,135000.0,177903.0,16447.5
94478,0,Cash loans,F,Y,N,0,247500.0,1724688.0,60079.5
141290,0,Cash loans,M,Y,Y,0,360000.0,1205451.0,39969.0
166581,0,Cash loans,M,N,Y,1,405000.0,1113840.0,44302.5
150621,0,Cash loans,F,Y,N,1,238500.0,1350000.0,57199.5
149571,0,Cash loans,F,N,Y,0,85500.0,948730.5,31482.0
168787,0,Cash loans,F,N,Y,0,157500.0,1258650.0,53455.5
28222,0,Cash loans,M,Y,Y,0,179100.0,1096020.0,56092.5
241432,0,Cash loans,F,N,Y,0,90000.0,535500.0,17401.5
268162,0,Cash loans,M,Y,N,0,247500.0,900000.0,32017.5
133278,0,Revolving loans,M,Y,Y,0,225000.0,405000.0,20250.0
5297,0,Cash loans,F,N,Y,0,67500.0,468000.0,12474.0
27296,0,Cash loans,F,N,Y,0,90000.0,327024.0,12456.0
40600,0,Cash loans,F,N,Y,0,211500.0,846387.0,24876.0
218966,0,Cash loans,F,N,Y,1,126000.0,66222.0,6678.0
198474,0,Cash loans,M,N,N,0,135000.0,753840.0,29340.0
59550,1,Cash loans,M,N,N,0,157500.0,254700.0,17019.0
122386,0,Cash loans,M,N,N,0,180000.0,540000.0,19395.0
170657,0,Cash loans,F,N,Y,0,74250.0,112500.0,6282.0
293753,0,Revolving loans,F,N,Y,1,135000.0,225000.0,11250.0
41940,0,Revolving loans,M,N,N,0,270000.0,247500.0,12375.0
38747,0,Cash loans,F,N,N,0,166500.0,1320975.0,43785.0
243289,0,Cash loans,F,N,Y,0,72000.0,472500.0,24255.0
197127,0,Cash loans,F,N,N,0,157500.0,981162.0,28818.0
307100,0,Cash loans,M,N,Y,0,180000.0,625536.0,34065.0
161771,0,Cash loans,M,Y,N,0,157500.0,855000.0,25128.0
135054,0,Cash loans,M,Y,Y,0,135000.0,450000.0,20979.0
224610,1,Cash loans,F,N,Y,0,135000.0,675000.0,21906.0
